N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
118,롯데쇼핑,"108,000","1,000",-0.92%,"5,000","30,552","28,289",10.42,"47,479",-5.28,-7.70,
119,동서,"30,050",0,0.00%,500,"29,960","99,700",3.29,"69,958",27.72,8.61,
120,일진하이솔루스,"81,600","2,600",-3.09%,500,"29,632","36,313",5.30,"391,936",152.24,34.27,
121,대우건설,"7,110",20,+0.28%,"5,000","29,551","415,623",11.64,"1,177,323",6.48,11.06,
122,현대오토에버,"107,500","1,500",-1.38%,500,"29,481","27,424",1.66,"70,475",38.78,11.09,
123,포스코인터내셔널,"23,850",150,-0.62%,"5,000","29,425","123,375",10.17,"718,583",9.98,7.69,
124,한화생명,"3,380",45,-1.31%,"5,000","29,356","868,530",7.70,"1,608,325",5.36,1.90,
125,만도,"61,500",500,+0.82%,"1,000","28,879","46,957",25.24,"141,142",12.18,0.37,
126,한샘,"121,000","2,000",+1.68%,"1,000","28,476","23,534",18.86,"163,626",34.25,10.83,
127,휠라홀딩스,"46,250",450,-0.96%,"1,000","28,098","60,752",47.30,"221,803",11.66,10.94,
128,DL이앤씨,"140,500",500,+0.36%,"5,000","27,199","19,359",26.65,"117,841",N/A,N/A,
129,신세계,"275,000","1,500",-0.54%,"5,000","27,074","9,845",28.03,"41,596",33.56,-2.81,
130,현대로템,"24,450",150,-0.61%,"5,000","26,685","109,142",5.10,"862,191",78.62,2.84,
131,제일기획,"23,100",350,-1.49%,200,"26,575","115,041",33.36,"214,879",14.22,16.11,
132,한화,"35,400",100,-0.28%,"5,000","26,535","74,959",19.02,"357,508",6.80,4.79,
133,LG화학우,"345,000",500,-0.14%,"5,000","26,526","7,689",68.63,"21,338",9.29,N/A,
134,BNK금융지주,"8,050",20,-0.25%,"5,000","26,238","325,935",39.41,"1,152,837",3.88,6.11,
135,코오롱인더,"97,200",600,-0.61%,"5,000","26,223","26,979",21.39,"533,761",19.47,9.70,
136,DB하이텍,"58,500",400,-0.68%,"5,000","25,973","44,399",17.12,"460,404",15.55,23.07,
137,효성,"122,500","1,000",-0.81%,"5,000","25,812","21,071",9.30,"58,216",16.72,-2.26,
138,한화에어로스페이스,"50,600",100,+0.20%,"5,000","25,619","50,630",19.36,"183,413",9.79,4.78,
139,현대차우,"102,500","1,500",+1.49%,"5,000","24,966","24,357",58.94,"45,039",7.43,N/A,
140,하이트진로,"34,700",200,-0.57%,"5,000","24,336","70,134",4.78,"265,510",34.73,8.23,
141,대한전선,"2,770",110,+4.14%,500,"23,724","856,473",2.15,"50,755,335",-145.79,0.92,
142,롯데정밀화학,"90,500",800,+0.89%,"5,000","23,349","25,800",21.36,"1,006,030",9.52,12.65,
143,현대위아,"84,700",800,-0.94%,"5,000","23,034","27,195",8.32,"183,911",22.67,1.96,
144,현대해상,"25,300",200,-0.78%,500,"22,618","89,400",27.43,"255,579",5.86,7.13,
